title,resume,date,url
"A Marrakech, les clients d’un Hammam agressés et dépouillés de leurs affaires","Les adeptes d’un hammam traditionnel du quartier Sidi Youssef Ben Ali à Marrakech ont vécu un véritable cauchemar, samedi dernier, quand des inconnus armés de couteaux et de sabres ont pris d’assaut le bain pour dépouiller les clients de leurs affaires.  ",26 novembre 2019,https://www.h24info.ma/maroc/a-marrakech-les-clients-dun-hammam-agresses-et-depouilles-de-leurs-affaires/
Grand spectacle et couac viral pour le pick-up futuriste de Tesla,"Un show futurise et un couac viral: Elon Musk a été fidèle à sa réputation de trublion imprévisible de la tech en dévoilant jeudi le futur pick-up 100% électrique de Tesla, à l’allure fort peu conventionnelle.",22 novembre 2019,https://www.h24info.ma/lifestyle/grand-spectacle-et-couac-viral-pour-le-pick-up-futuriste-de-tesla/
Le coiffeur de Cristiano Ronaldo retrouvé mort en Suisse,Ricardo Marques Ferreira a été retrouvé mort vendredi dernier dans sa chambre d’hôtel à Zurich où le coiffeur et proche de Cristiano Ronaldo séjournait depuis environ une semaine.,4 novembre 2019,https://www.h24info.ma/people/le-coiffeur-de-cristiano-ronaldo-retrouve-mort-en-suisse/
Oppo lance sa nouvelle série Reno2 au Maroc,"Oppo a lancé sa nouvelle série Reno2 au Maroc avec les modèles Reno2, Reno2 Z et Reno2 F. Des smartphones perfectionnés aux performances exceptionnelles destinés à stimuler la créativité de ses utilisateurs, annonce le fabricant.",24 novembre 2019,https://www.h24info.ma/lifestyle/oppo-lance-sa-nouvelle-serie-reno2-au-maroc/
«Arribat Center»: un nouveau centre commercial ouvre ses portes à Rabat,"Un nouveau centre commercial s’apprête à voir le jour ce mercredi 20 novembre, en plein cœur de Rabat. Baptisé «Arribat Center», il allie la modernité au cachet authentique de la forme urbaine du quartier de Agdal.",20 novembre 2019,https://www.h24info.ma/lifestyle/arribat-center-un-nouveau-centre-commercial-ouvre-ses-portes-a-rabat/
Diapo. Les sulfureuses photos de Sara Underwood au Maroc,"Sara Jean Underwood se trouve au Maroc. L’actrice et mannequin américaine a dévoilé à ses 9 millions followers sur Instagram ses derniers clichés où on la voit parfois en bikini, parfois en robe, parfois peu vêtue, mais toujours très sexy. ",11 novembre 2019,https://www.h24info.ma/people/diapo-les-sulfureuses-photos-de-sara-underwood-au-maroc/
Hervé Renard prend la pose avec Choumicha à Dubai,"L’ex-sélectionneur de l’équipe nationale marocaine et l’actuel coach de l’Arabie Saoudite, Hervé Renard, a rendu visite à Choumicha dans son célèbre restaurant aux Émirats Arabes Unis.",21 novembre 2019,https://www.h24info.ma/people/herve-renard-prend-la-pose-avec-choumicha-a-dubai/
Canada: le rappeur Drake lance sa marque de cannabis,"Le rappeur canadien Drake a annoncé jeudi la création de More Life Growth, une entreprise de production de cannabis en partenariat avec Canopy Growth, un an après la légalisation de l’usage récréatif de cette drogue douce au Canada.",8 novembre 2019,https://www.h24info.ma/people/canada-le-rappeur-drake-lance-sa-marque-de-cannabis/
5e édition du Festival de Gastronomie péruvienne: toute la saveur du Pérou à Casablanca,"Les 26, 27 et 28 novembre 2019, l’Ambassade du Pérou au Maroc amène la ",21 novembre 2019,https://www.h24info.ma/lifestyle/5e-edition-du-festival-de-gastronomie-peruvienne-toute-la-saveur-du-perou-a-casablanca/
Los Angeles: voici pourquoi French Montana a été hospitalisé,"Quelques jours après son retour de Casablanca, le rappeur marocain French Montana a été transporté d’urgence vers un hôpital de Los Angles.",22 novembre 2019,https://www.h24info.ma/people/los-angeles-voici-pourquoi-french-montana-a-ete-hospitalise/
LVMH rachète Tiffany pour plus de 16 milliards de dollars (officiel),"Le numéro un mondial du luxe LVMH a annoncé lundi le rachat du joaillier américain Tiffany pour un montant de 16,2 milliards de dollars, soit la plus importante acquisition dans l’histoire du groupe du milliardaire Bernard Arnault.",24 novembre 2019,https://www.h24info.ma/economie/lvmh-en-passe-de-racheter-tiffany-pour-163-milliards-de-dollars/
Le groupe Citic Dicastal inaugure sa deuxième usine à Kénitra,"Le groupe chinois Citic Dicastal, leader mondial spécialisé dans le moulage d’aluminium et dans la production de pièces automobiles en aluminium, a inauguré, lundi à Kénitra, la deuxième phase du projet Dicastal Morocco Africa, pour un investissement global de 350 millions d’euros. ",25 novembre 2019,https://www.h24info.ma/economie/le-groupe-citic-dicastal-inaugure-sa-deuxieme-usine-a-kenitra/
Groupe OCP: hausse de 3% du chiffre d’affaires à fin septembre,"Le Groupe OCP a annoncé, mardi, avoir réalisé à fin septembre 2019, un chiffre d’affaires de plus de 42,45 milliards de dirhams (MMDH), en hausse de 3% par rapport à la même période de l’exercice précédent, principalement grâce à la forte augmentation des ventes d’acide phosphorique.",26 novembre 2019,https://www.h24info.ma/economie/groupe-ocp-hausse-de-3-du-chiffre-daffaires-a-fin-septembre/
"Afriquia Gaz: le chiffre d’affaire consolidé en baisse de 2,9% à fin septembre","Le chiffre d’affaires consolidé d’Afriquia Gaz s’est établi à 4,85 milliards de dirhams (MMDH) au titre des neuf premiers mois de 2019, en baisse de 2,9% comparativement à la même période de l’exercice précédent.",26 novembre 2019,https://www.h24info.ma/economie/afriquia-gaz-le-chiffre-daffaire-consolide-en-baisse-de-29-a-fin-septembre/
Fès : arrestation d’une femme en possession de 2.980 comprimés psychotropes,"Dans le cadre des efforts intenses déployés par les services de sûreté dans la lutte contre le trafic de drogues et des psychotropes, les éléments du service préfectoral de la police judiciaire de la ville de Fès ont procédé, lundi sur la base d’informations précises fournies par les services de la Direction générale de la surveillance du territoire, à l’arrestation d’une femme en possession de 2.980 comprimés psychotropes de type « Ecstasy »",26 novembre 2019,https://www.h24info.ma/maroc/fes-arrestation-dune-femme-en-possession-de-2-980-comprimes-psychotropes/
Diapo. Casablanca: les nouveaux-vieux bus sont arrivés,"C’est la fin des bus de la honte? Alors que Alsa a remporté le marché de gestion des bus de Casablanca, de nouvelles images commencent à circuler sur le Net. Il s’agit en effet des nouveaux bus qui circuleront dans les quartiers de la capitale économique.",25 novembre 2019,https://www.h24info.ma/maroc/diapo-casablanca-les-nouveaux-vieux-bus-sont-arrives/
La lutte contre le blanchiment des capitaux au menu du Conseil de gouvernement de jeudi prochain,"Un Conseil de gouvernement se réunira jeudi (28 novembre 2019) sous la présidence du Chef du gouvernement, Saad Eddine El Otmani.",25 novembre 2019,https://www.h24info.ma/maroc/la-lutte-contre-le-blanchiment-des-capitaux-au-menu-du-conseil-de-gouvernement-de-jeudi-prochain/
Vidéo. Larache: un couple impliqué dans l’homicide volontaire et la mutilation d’un enfant,"La brigade de la police judiciaire de la ville de Larache a ouvert, lundi soir, une enquête judiciaire sous la supervision du parquet compétent à l’encontre d’un couple pour implication présumée dans une affaire d’homicide volontaire à l’arme blanche et de mutilation du cadavre d’un enfant de 7 ans.",26 novembre 2019,https://www.h24info.ma/maroc/video-larache-un-couple-implique-dans-lhomicide-volontaire-et-la-mutilation-dun-enfant/
Températures prévues pour la journée du mardi 26 novembre,Voici les températures minimales et maximales prévues par la Direction de la météorologie nationale pour la journée du mardi 26 novembre 2019 :,25 novembre 2019,https://www.h24info.ma/maroc/temperatures-prevues-pour-la-journee-du-mardi-26-novembre/
Météo: les prévisions de ce mardi 26 novembre,"Voici les prévisions météorologiques pour la journée du mardi 26 novembre 2019, établies par la Direction de la météorologie nationale :",26 novembre 2019,https://www.h24info.ma/maroc/meteo-les-previsions-de-ce-mardi-26-novembre/
Un débrayage de 48h paralyse le ministère de l’Economie et des Finances,"Après l’échec du dialogue avec le ministère de l’Economie et des Finances, le Syndicat national démocratique des finances relevant de la CDT a décidé de paralyser l’ensemble des services du ministère à travers les villes et les provinces du royaume pendant 48h.",26 novembre 2019,https://www.h24info.ma/maroc/un-debrayage-de-48h-paralyse-le-ministere-de-leconomie-et-des-finances/
Vidéo. Naufrage d’un chalutier au large de Tan Tan: un autre corps repêché,"Un nouveau corps a été repêché au large de Lagzira entre les villes de Tiznit et Sidi Ifni, ce lundi après-midi, après le renversement d’un bateau de pêche côtière il y a quelques jours.  ",25 novembre 2019,https://www.h24info.ma/maroc/naufrage-dun-chalutier-au-large-de-tan-tan-un-autre-corps-repeche/
Casablanca: il tente de braquer une agence à Ain Diab avec un fusil,"Les éléments du district de police d’Anfa à Casablanca ont arrêté, lundi, un individu aux antécédentes judiciaires pour coups et blessures, pour son implication présumée dans une tentative de braquage d’une agence de transfert d’argent sous la menace d’un fusil de chasse.",25 novembre 2019,https://www.h24info.ma/maroc/casablanca-il-tente-de-braquer-une-agence-a-ain-diab-avec-un-fusil/
Satellites Mohammed VI A et B: les yeux du Maroc au service de la sûreté et du développement,"Les deux satellites Mohammed VI «A» et «B» ont mis à la disposition des ministères et les établissements publics des images satellites de haute résolution pendant 2019. Ces images ont couvert une superficie de 250.000 km2 et ont permis de mettre en place plus de 370 cartes thématiques, indique un rapport officiel.",25 novembre 2019,https://www.h24info.ma/maroc/satellites-mohammed-vi-a-et-b-les-yeux-du-maroc-au-service-de-la-surete-et-du-developpement/
Casablanca: arrestation de l’agresseur d’un officier de police sous la menace de l’arme blanche,"Les éléments du district de police de Hay El Hassani à Casablanca ont arrêté, très tôt lundi, un individu de 28 ans pour son implication présumée dans une tentative de vol sous la menace de l’arme blanche.",25 novembre 2019,https://www.h24info.ma/maroc/casablanca-arrestation-de-lagresseur-dun-officier-de-police-sous-la-menace-de-larme-blanche/
Essaouira: une plainte pour vol d’un chalutier révèle un vaste trafic de chira,"Huit suspects impliqués dans un réseau de trafic de drogue dans la région d’Essaouira, dont un homme d’affaires et un conseiller communal, comparaîtront, ce mardi 26 novembre, devant le procureur du roi de Safi. Une simple plainte pour vol d’un chalutier de pêche déposée contre X est à l’origine d’un gros coup de filet de la gendarmerie. Les Détails.",26 novembre 2019,https://www.h24info.ma/maroc/essaouira-une-plainte-pour-vol-dun-chalutier-revele-un-vaste-trafic-de-chira/
Diapo. Casablanca: la ligne 1 du tramway bloquée en raison de pierres qui tombent de l’hôtel Lincoln,"La société Casatramway a décidé de suspendre provisoirement la ligne 1 reliant  Sidi Moumen à  Lissasfa au niveau de la station marché central. En ruines depuis de nombreuses années, des pierres de l’hôtel Lincoln sont tombées sur les rails du tramway. ",26 novembre 2019,https://www.h24info.ma/maroc/diapo-casablanca-la-ligne-1-du-tramway-bloquee-en-raison-de-pierres-qui-tombent-de-lhotel-lincoln/
ONCF: grosse perturbation du trafic ferroviaire du vendredi au dimanche,"En raison du déploiement d’une nouvelle version du système de signalisation visant à renforcer la fluidité du trafic ferroviaire, l’Office national des chemins de fer annonce ",26 novembre 2019,https://www.h24info.ma/maroc/oncf-grosse-perturbation-du-trafic-ferroviaire-du-vendredi-au-dimanche/
Entretien. Benmessaoud: « Le vote obligatoire sera un échec »,Le débat sur le vote obligatoire vient de refaire surface. Quelle efficience pourrait avoir une telle mesure ? Sera-t-elle capable de mettre fin à la désaffection des Marocains de plus en plus croissante envers le politique ? ,15 septembre 2019,https://www.h24info.ma/maroc/entretien-benmessaoud-le-vote-obligatoire-sera-un-echec/
"Rencontre avec le Docteur Dia, premier psychiatre de Mauritanie","Qui n’a jamais entendu parler du « docteur Dia « ?  Même le dernier des Touaregs au fin fond du  Sahara connaît son nom. À l’instar de notre Croque-Mitaine, de la Fée Carabosse, de Pinocchio, il a donné son nom à une expression populaire. En Mauritanie,",7 novembre 2019,https://www.h24info.ma/debats-idees/rencontre-avec-le-docteur-dia-premier-psychiatre-de-mauritanie/
