title,resume,date
Influence de vote: un parlementaire de Guelmim-Oued Noun révoqué par la CC,"La Cour constitutionnelle a donné ce jeudi son verdict au sujet de la révocation du Conseiller parlementaire, élu au sein du corps électoral des représentants des Conseils communaux et provinciaux et régionaux de Guelmim-Oued Noun, Othmane Aïla. En premier ressort, le conseiller avait été condamné pour « ",13 Déc 2019
Article 9 du PLF: Ouahbi corrige Ramid par rapport à son « double discours »,"Le Projet de loi de finances (PLF) 2019 a bel et bien été approuvé, en deuxième lecture, par la Chambre des représentants. Mais au cours des discussions précédant le vote final, le député PAM Abdellatif Ouahbi a taclé le ministre d’État chargé des Droits de l’homme et des Relations avec le parlement, Mustapha Ramid, à cause de ce qui’il a qualifié de « coup d’État » contre le tant contesté Article 9 du PLF. ",13 Déc 2019
PSU : Mounib se voit bien en Chef du gouvernement,"La Secrétaire générale du PSU a été l’invitée de l’émission web de Hespress « Niqach fi siassa » (Débat en politique) qui sera diffusée demain soir. Elle a notamment parlé de la situation où se trouvent actuellement les partis politiques, sur ses ambitions et celles de son parti, membre de la FGD, mais aussi de la place de la religion dans l’exercice de la politique au Maroc.",15 Déc 2019
Ahmed Arahmouch: Observations autour de la circulaire d’El Otmani sur l’Amazigh,,13 Déc 2019
Congrès de l’UNTM : Abdelilah Hallouti rempile pour un second mandat,"Tardivement dans la soirée du 14 décembre, le Secrétaire général de l’UNTM, Abdelilah Hallouti, a été réélu pour un second mandat à la tête de la centrale syndicale inféodée au PJD, au cours d’un congrès où il a été plébiscité à hauteur de 62,43 %.",15 Déc 2019
Mohammed VI félicite le nouveau président algérien et réitère son appel à ouvrir les frontières,"Le roi Mohammed VI a adressé un message de félicitations à Abdelmadjid Tebboune, suite à son élection président de la République algérienne démocratique et populaire.",15 Déc 2019
Fonctionnaires doctorants de l’Etat : Une grève « nationale » les mercredi et jeudi prochains,L’Union générale nationale des doctorants du Maroc se prépare à « ,15 Déc 2019
Hirak: L’association Thafra tient encore à Ahmed Zefzafi,"Moins d’une semaine après qu’Ahmed Zefzafi ait annoncé sa démission de la présidence de l’Association Thafra qui rassemble les familles des détenus du Hirak du Rif, son bureau dirigeant annonce son rejet de la démission présentée. Les membres de l’association ont affirmé leur attachement à la figure paternelle du leader du Hirak, Nasser Zefzafi en tant que coordinateur du mouvement familial qui demande la libération des activistes détenus.",16 Déc 2019
Les positions du Roi Mohammed VI en faveur de la Palestine saluées par Mahmoud Abbas,"Les positions du Roi Mohammed VI en faveur de la Palestine et des droits légitimes des Palestiniens, exprimées par le Souverain à l’occasion de la célébration du 50è anniversaire de la création de l’Organisation de la Coopération Islamique à Rabat, ont été saluées par le président palestinien, Mahmoud Abbas.",13 Déc 2019
Enseignants titulaires de diplômes supérieurs: Fin des hostilités et retour aux classes,"Après quasiment deux semaines de grève, de marches de protestation et de sit-in entre le siège du ministère de l’Education nationale et le parlement à Rabat, les enseignants titulaires de hauts diplômes annoncent leur retour aux classes scolaires. Leur Coordination nationale a pris cette décision après avoir débattu jusque tard, hier soir, sur les différentes options qui s’offrent devant les enseignants, notamment en proie à des procédures d’« abandon de poste », initiée par les différentes directions provinciales de l’Education nationale dont ils relèvent.  ",13 Déc 2019
Paris : El Malki et Kayouh présents au 4ème Forum parlementaire Maroc-France,"En présence de l’ambassadeur du royaume en France Chakib Benmoussa, le président de la première Chambre, Habib El Malki, et le vice-président de la deuxième Chambre, Abdessamad Kayouh, sont à l’Assemblée nationale française à Paris pour prendre part au 4e Forum Parlementaire Maroc-France. Une rencontre interparlementaire qui a ouvert ses travaux, vendredi 13 décembre, dans la capitale française.",14 Déc 2019
Clôture des travaux de la 28e session du Conseil supérieur des oulémas,"Les travaux de la 28ème session ordinaire du Conseil supérieur des Oulémas, tenue avec la Haute Approbation du roi Mohammed VI, Président du Conseil supérieur des oulémas, ont pris fin samedi à Rabat.",15 Déc 2019
Oujda : Session de formation sur la gouvernance et la gestion de la chose locale,"Le parti du Mouvement Populaire (MP) organise, les 14 et 15 décembre à Oujda, une session de formation dans le cadre du projet de « renforcement des capacités des conseillères des collectivités territoriales en matière de gouvernance et de gestion de la chose locale ».",15 Déc 2019
Essaouira : Vers un Conseil municipal des enfants,"Une réunion dédiée à la présentation du projet « Conseil municipal des enfants d’Essaouira » a été tenue récemment dans la cité des Alizés et ce, à l’initiative du Conseil municipal de la ville.",15 Déc 2019
